"artist_name","album_name","track_name","genre_clean","key_clean","mode_clean","master_key"
"Ed Sheeran","÷ (Deluxe)","Eraser","Pop","Ab","min","Ab min"
"Ed Sheeran","÷ (Deluxe)","Castle on the Hill","Pop","D","maj","D maj"
"Ed Sheeran","÷ (Deluxe)","Dive","Pop","E","maj","E maj"
"Ed Sheeran","÷ (Deluxe)","Shape of You","Pop","Db","min","Db min"
"Ed Sheeran","÷ (Deluxe)","Perfect","Pop","Ab","maj","Ab maj"
"Ed Sheeran","÷ (Deluxe)","Galway Girl","Pop","A","maj","A maj"
"Ed Sheeran","÷ (Deluxe)","Happier","Pop","C","maj","C maj"
"Ed Sheeran","÷ (Deluxe)","New Man","Pop","G","maj","G maj"
"Ed Sheeran","÷ (Deluxe)","Hearts Don't Break Around Here","Pop","G","maj","G maj"
"Ed Sheeran","÷ (Deluxe)","What Do I Know?","Pop","Db","min","Db min"
"Ed Sheeran","÷ (Deluxe)","How Would You Feel (Paean)","Pop","A","maj","A maj"
"Ed Sheeran","÷ (Deluxe)","Supermarket Flowers","Pop","F#","maj","F# maj"
"Ed Sheeran","÷ (Deluxe)","Barcelona","Pop","Db","maj","Db maj"
"Ed Sheeran","÷ (Deluxe)","Bibia Be Ye Ye","Pop","G","maj","G maj"
"Ed Sheeran","÷ (Deluxe)","Nancy Mulligan","Pop","G","maj","G maj"
"Ed Sheeran","÷ (Deluxe)","Save Myself","Pop","Bb","maj","Bb maj"
"Adele","25","Hello","Pop","F","min","F min"
"Adele","25","Send My Love (To Your New Lover)","Pop","F#","min","F# min"
"Adele","25","I Miss You","Pop","G","min","G min"
"Adele","25","When We Were Young","Pop","Eb","maj","Eb maj"
"Adele","25","Remedy","Pop","D","maj","D maj"
"Adele","25","Water Under the Bridge","Pop","F","min","F min"
"Adele","25","River Lea","Pop","Db","maj","Db maj"
"Adele","25","Love in the Dark","Pop","A","min","A min"
"Adele","25","Million Years Ago","Pop","Db","min","Db min"
"Adele","25","All I Ask","Pop","E","maj","E maj"
"Adele","25","Sweetest Devotion","Pop","C","maj","C maj"
"Aesop Rock","The Impossible Kid","Mystery Fish","Rap","D","maj","D maj"
"Aesop Rock","The Impossible Kid","Rings","Rap","Db","maj","Db maj"
"Aesop Rock","The Impossible Kid","Lotta Years","Rap","Db","maj","Db maj"
"Aesop Rock","The Impossible Kid","Dorks","Rap","G","maj","G maj"
"Aesop Rock","The Impossible Kid","Rabies","Rap","B","min","B min"
"Aesop Rock","The Impossible Kid","Supercell","Rap","D","maj","D maj"
"Aesop Rock","The Impossible Kid","Blood Sandwich","Rap","G","min","G min"
"Aesop Rock","The Impossible Kid","Get Out of the Car","Rap","B","min","B min"
"Aesop Rock","The Impossible Kid","Shrunk","Rap","F#","min","F# min"
"Aesop Rock","The Impossible Kid","Kirby","Rap","Db","min","Db min"
"Aesop Rock","The Impossible Kid","TUFF","Rap","Db","maj","Db maj"
"Aesop Rock","The Impossible Kid","Lazy Eye","Rap","F#","maj","F# maj"
"Aesop Rock","The Impossible Kid","Defender","Rap","Db","min","Db min"
"Aesop Rock","The Impossible Kid","Water Tower","Rap","Db","maj","Db maj"
"Aesop Rock","The Impossible Kid","Molecules","Rap","Db","min","Db min"
"Aesop Rock","None Shall Pass","Keep Off The Lawn","Rap","Bb","min","Bb min"
"Aesop Rock","None Shall Pass","None Shall Pass","Rap","C","maj","C maj"
"Aesop Rock","None Shall Pass","Catacomb Kids","Rap","B","maj","B maj"
"Aesop Rock","None Shall Pass","Bring Back Pluto","Rap","G","maj","G maj"
"Aesop Rock","None Shall Pass","Fumes","Rap","F#","min","F# min"
"Aesop Rock","None Shall Pass","Getaway Car","Rap","F#","maj","F# maj"
"Aesop Rock","None Shall Pass","39 Thieves","Rap","G","maj","G maj"
"Aesop Rock","None Shall Pass","The Harbor Is Yours","Rap","Db","min","Db min"
"Aesop Rock","None Shall Pass","Citronella","Rap","B","maj","B maj"
"Aesop Rock","None Shall Pass","Gun For The Whole Family","Rap","F#","min","F# min"
"Aesop Rock","None Shall Pass","Five Fingers","Rap","D","maj","D maj"
"Aesop Rock","None Shall Pass","No City","Rap","Eb","maj","Eb maj"
"Aesop Rock","None Shall Pass","Dark Heart News","Rap","B","maj","B maj"
"Aesop Rock","None Shall Pass","Coffee","Rap","A","maj","A maj"
"Ahmad Jamal Trio","The Awakening","The Awakening","Jazz","Db","maj","Db maj"
"Ahmad Jamal Trio","The Awakening","I Love Music","Jazz","F","min","F min"
